instance	master	x	y	orient	input_net	output_net	upstream_loads	output_loads	merged_fanout	driver_term
FE_OFC253_03451	BUF_X1	67.26	38.08	R180	FE_OFN10_03451	FE_OFN253_03451	11	14	24	FE_OFC10_03451/Z
FE_OFC252_03451	BUF_X1	79.23	39.48	R0	FE_OFN10_03451	FE_OFN252_03451	11	9	19	FE_OFC10_03451/Z
FE_OFC250_03430	BUF_X1	80.75	39.48	R0	FE_OFN249_03430	FE_OFN250_03430	12	13	24	FE_OFC249_03430/Z
FE_OFC248_03429	BUF_X1	74.67	36.68	R0	FE_OFN247_03429	FE_OFN248_03429	14	16	29	FE_OFC247_03429/Z
FE_OFC246_03408	BUF_X1	78.66	28.28	MY	FE_OFN245_03408	FE_OFN246_03408	16	12	27	FE_OFC245_03408/Z
FE_OFC244_03407	BUF_X1	88.73	36.68	R0	FE_OFN243_03407	FE_OFN244_03407	10	16	25	FE_OFC243_03407/Z
FE_OFC241_02864	BUF_X1	156.18	66.08	MX	FE_OFN239_02864	FE_OFN241_02864	16	10	25	FE_OFC239_02864/Z
FE_OFC240_02864	BUF_X1	137.94	54.88	MX	FE_OFN238_02864	FE_OFN240_02864	15	16	30	FE_OFC238_02864/Z
FE_OFC239_02864	BUF_X1	138.89	74.48	MX	FE_OFN238_02864	FE_OFN239_02864	15	16	30	FE_OFC238_02864/Z
FE_OFC237_02863	BUF_X1	158.65	66.08	MX	FE_OFN235_02863	FE_OFN237_02863	13	16	28	FE_OFC235_02863/Z
FE_OFC236_02863	BUF_X1	136.61	59.08	R0	_02863_	FE_OFN236_02863	9	16	24	_11674_/ZN
FE_OFC235_02863	BUF_X1	136.8	71.68	MX	_02863_	FE_OFN235_02863	9	13	21	_11674_/ZN
FE_OFC234_02854	BUF_X1	145.92	53.48	R0	FE_OFN233_02854	FE_OFN234_02854	16	11	26	FE_OFC233_02854/Z
FE_OFC233_02854	BUF_X1	134.71	68.88	MX	_02854_	FE_OFN233_02854	7	16	22	_11665_/Z
